0.000488,0.001551,0.002530,0.003279,0.003714,0.003815,0.003617,0.003198,0.002652,0.002071,0.001526,0.001064,0.000702,0.000439,0.000260,0.000147,0.000078,0.000040,0.000019,0.000009
0.000454,0.001426,0.002298,0.002935,0.003267,0.003288,0.003045,0.002620,0.002107,0.001591,0.001129,0.000756,0.000477,0.000284,0.000160,0.000085,0.000043,0.000021,0.000009,0.000004
0.000417,0.001381,0.002292,0.002976,0.003338,0.003358,0.003085,0.002613,0.002052,0.001500,0.001023,0.000652,0.000388,0.000216,0.000113,0.000055,0.000025,0.000011,0.000004,0.000002
0.000333,0.001222,0.002155,0.002919,0.003373,0.003462,0.003212,0.002721,0.002116,0.001514,0.000999,0.000608,0.000342,0.000177,0.000085,0.000037,0.000015,0.000006,0.000002,0.000001
0.000286,0.001145,0.002140,0.003042,0.003681,0.003951,0.003835,0.003398,0.002763,0.002067,0.001425,0.000905,0.000529,0.000285,0.000141,0.000064,0.000027,0.000010,0.000004,0.000001
0.000235,0.001058,0.002142,0.003260,0.004212,0.004831,0.005020,0.004776,0.004180,0.003373,0.002513,0.001728,0.001095,0.000640,0.000344,0.000170,0.000077,0.000032,0.000012,0.000004
0.000172,0.000896,0.001996,0.003276,0.004528,0.005541,0.006135,0.006214,0.005786,0.004963,0.003921,0.002852,0.001906,0.001168,0.000655,0.000335,0.000156,0.000066,0.000025,0.000009
0.000117,0.000683,0.001630,0.002821,0.004080,0.005203,0.005991,0.006297,0.006072,0.005378,0.004375,0.003263,0.002225,0.001384,0.000782,0.000400,0.000185,0.000077,0.000028,0.000009
0.000092,0.000539,0.001293,0.002247,0.003264,0.004180,0.004834,0.005105,0.004947,0.004406,0.003605,0.002705,0.001857,0.001163,0.000662,0.000341,0.000159,0.000066,0.000025,0.000008
0.000106,0.000589,0.001363,0.002311,0.003292,0.004154,0.004750,0.004980,0.004812,0.004293,0.003538,0.002690,0.001884,0.001213,0.000716,0.000386,0.000190,0.000085,0.000034,0.000013
0.000164,0.000834,0.001838,0.003006,0.004171,0.005158,0.005817,0.006049,0.005836,0.005237,0.004375,0.003402,0.002461,0.001654,0.001031,0.000595,0.000317,0.000156,0.000071,0.000029
0.000260,0.001187,0.002446,0.003819,0.005116,0.006161,0.006816,0.007006,0.006732,0.006068,0.005140,0.004094,0.003067,0.002160,0.001429,0.000887,0.000517,0.000282,0.000144,0.000069
0.000387,0.001576,0.003034,0.004516,0.005832,0.006824,0.007386,0.007477,0.007125,0.006414,0.005469,0.004420,0.003391,0.002468,0.001706,0.001119,0.000696,0.000411,0.000230,0.000122
0.000486,0.001843,0.003398,0.004903,0.006175,0.007077,0.007528,0.007515,0.007084,0.006330,0.005376,0.004345,0.003346,0.002456,0.001719,0.001147,0.000730,0.000443,0.000257,0.000142
0.000511,0.001887,0.003422,0.004876,0.006076,0.006900,0.007280,0.007214,0.006757,0.006004,0.005075,0.004087,0.003139,0.002301,0.001610,0.001076,0.000687,0.000419,0.000244,0.000135
0.000470,0.001766,0.003237,0.004645,0.005821,0.006637,0.007023,0.006971,0.006532,0.005801,0.004894,0.003928,0.003003,0.002188,0.001520,0.001006,0.000635,0.000382,0.000219,0.000120
0.000451,0.001725,0.003195,0.004624,0.005832,0.006686,0.007108,0.007084,0.006661,0.005930,0.005012,0.004026,0.003078,0.002241,0.001553,0.001025,0.000645,0.000386,0.000220,0.000119
0.000462,0.001769,0.003275,0.004731,0.005954,0.006805,0.007207,0.007149,0.006684,0.005912,0.004960,0.003951,0.002993,0.002156,0.001477,0.000963,0.000597,0.000352,0.000198,0.000105
0.000525,0.001900,0.003392,0.004759,0.005832,0.006497,0.006708,0.006487,0.005912,0.005097,0.004166,0.003235,0.002388,0.001677,0.001121,0.000713,0.000432,0.000249,0.000137,0.000071
0.000554,0.001854,0.003143,0.004222,0.004964,0.005306,0.005254,0.004866,0.004243,0.003495,0.002727,0.002019,0.001420,0.000949,0.000604,0.000365,0.000211,0.000115,0.000060,0.000030
